Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,839,Special Categories,,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,11241000,,,,11241000,,588603,,,0
H5,2018,2018,2018,6,1,1,Import,710,South Africa,ZAF,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,201615,,,,201615,,112710,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,842,USA,USA,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,43004003,,,,43004003,,5668245,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,894,Zambia,ZMB,,,,,,,,270111,"Coal; anthracite, whether or not pulverised, but not agglomerated",8,Weight in kilograms,390,,,,390,,330,,,0
H5,2018,2018,2018,6,1,1,Import,710,South Africa,ZAF,0,World,WLD,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,1273977852,,,,1273977852,,208154299,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,78923408014,,,,78923408014,,6111472373,,,6
H5,2018,2018,2018,6,1,3,Re-Export,710,South Africa,ZAF,0,World,WLD,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,5384,,,,5384,,282,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,24,Angola,AGO,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,163649000,,,,163649000,,14695033,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,32,Argentina,ARG,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,197289000,,,,197289000,,17237085,,,0
H5,2018,2018,2018,6,1,1,Import,710,South Africa,ZAF,36,Australia,AUS,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,271759084,,,,271759084,,50798999,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,36,Australia,AUS,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,3519,,,,3519,,7,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,50,Bangladesh,BGD,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,757979000,,,,757979000,,46711454,,,0
H5,2018,2018,2018,6,1,1,Import,710,South Africa,ZAF,72,Botswana,BWA,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,309047295,,,,309047295,,8650047,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,76,Brazil,BRA,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,30000000,,,,30000000,,3867048,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,100,Bulgaria,BGR,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,87315000,,,,87315000,,5199098,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,144,Sri Lanka,LKA,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,1993663000,,,,1993663000,,167703938,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,156,China,CHN,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,849,,,,849,,1652,,,0
H5,2018,2018,2018,6,1,3,Re-Export,710,South Africa,ZAF,156,China,CHN,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,242,,,,242,,89,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,178,Congo,COG,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,172951000,,,,172951000,,15287744,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,180,Dem. Rep. of the Congo,COD,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,32987000,,,,32987000,,2851876,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,208,Denmark,DNK,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,623108000,,,,623108000,,35012838,,,0
H5,2018,2018,2018,6,1,2,Export,710,South Africa,ZAF,232,Eritrea,ERI,,,,,,,,270112,"Coal; bituminous, whether or not pulverised, but not agglomerated",8,Weight in kilograms,27500000,,,,27500000,,2945939,,,0
